node_id,xcoord,ycoord,zcoord
80,433317.4,4426333.6,1491
81,432454.4,4425170.7,1521
82,433833.1,4424225.100000001,1566
83,422714.8,4422070.4,1400
84,434474.6,4425890.499999999,1503
85,422858.6,4422918.300000001,1386
86,432983.4,4424161.6,1549
87,428015.46,4426915.39,1408
88,434266.6,4424886.899999999,1550
89,428017.6,4427719.7,1402
90,428021.06,4429330.52,1380
91,433301.3,4425339.8,1514
92,434838.2,4425742.000000001,1529
93,433350.4,4427492.7,1467
94,432264.5,4426523.4,1489
95,432284.5,4425299.5,1516
96,432402.8,4426369.8,1492
97,433478.1,4424620.6,1543
98,423335.3,4422674.6,1385
99,427612.1,4426912.7,1400
100,433568.7,4424618.9,1544
101,427206.0300000001,4426110.899999999,1390
102,432145.1,4426572.300000001,1487
103,433833.4,4424526.000000001,1553
104,433125.7,4425342.300000001,1517
105,433670.2,4427362.7,1467
106,436060.4,4432025.699999999,1411
107,422854.6,4422674.6,1389
108,433136.9,4426071.600000001,1499
109,433481.6,4425160.6,1520
110,432766.6,4425346.1,1518
111,423099.0,4422674.7,1389
112,432316.9,4426367.100000001,1492
113,432585.9,4425528.0,1512
114,432289.0,4425174.2,1518
115,432573.1,4424625.8,1534
116,423103.9,4422915.9,1387
117,434887.4,4432507.4,1405
118,432408.0,4425900.0,1503
119,434836.3,4425974.000000001,1514
120,435699.3,4431163.8,1416
121,433668.8,4426062.8,1492
122,423150.0,4423791.4,1383
123,432858.2,4423255.8,1580
124,434177.1,4424913.500000001,1546
125,433659.1,4424706.4,1542
126,432763.3,4424986.4,1527
127,432574.5,4424809.500000001,1530
128,436056.8,4432186.499999999,1411
129,432583.4,4425348.6,1517
130,434572.1,4425741.500000001,1521
131,434349.3,4424632.899999999,1567
132,432759.3,4424806.7,1532
133,435611.7,4431164.899999999,1416
134,432683.5,4426422.499999999,1492
135,432954.8,4425890.9,1504
136,429228.1,4427330.300000001,1430
137,433667.8,4424526.300000001,1550
138,422600.3,4422768.0,1386
139,432202.5,4426573.6,1487
140,433126.4,4426580.0,1486
141,433307.7,4425701.199999999,1506
142,432467.6,4424493.500000001,1536
143,433960.2,4425334.6,1512
144,432958.7,4426072.8,1499
145,433408.1,4424622.499999999,1543
146,432187.4,4425542.300000001,1509
147,432456.9,4424982.1,1526
148,434514.2,4425583.600000001,1529
149,434837.4,4425822.1,1523
150,434211.3,4424620.2,1562
151,433478.9,4424686.2,1541
152,422508.1,4422241.4,1397
153,432934.9,4424620.5,1538
154,432972.7,4426579.0,1487
155,432062.6,4425440.399999999,1510
156,433130.2,4426314.4,1492
157,433128.3,4426405.3,1490
158,429226.8,4427725.4,1423
159,434213.9,4425701.4,1503
160,427202.1,4424531.0,1389
161,433221.3,4426696.499999999,1484
162,434458.4,4424869.199999999,1561
163,433833.9,4424706.7,1545
164,432566.6,4426421.9,1492
165,434131.2,4425773.8,1498
166,432407.4,4425533.8,1512
167,433048.4,4426270.7,1494
168,434468.9,4424771.100000001,1567
169,432591.4,4426300.300000001,1494
170,423107.3,4423404.0,1383
171,432921.4,4423929.2,1557
172,434672.6,4424770.800000001,1584
173,434672.7,4424680.1,1589
174,433127.8,4426695.100000001,1484
175,432972.3,4426489.2,1489
176,434316.8,4425939.2,1495
177,433129.4,4425703.7,1509
178,432976.3,4423928.899999999,1557
179,432594.6,4426078.899999999,1499
180,433482.2,4425339.8,1512
181,432938.8,4424804.2,1534
182,428019.1,4428523.5,1389
183,433349.4,4427480.7,1467
184,432763.9,4426691.9,1486
185,435207.2,4431906.1,1408
186,432903.1,4423926.2,1557
187,432934.7,4424567.4,1541
188,433671.7,4426187.2,1489
189,433122.3,4425160.6,1523
190,432448.6,4424810.2,1528
191,434769.8,4424867.9,1585
192,433829.3,4424301.3,1562
193,435955.3,4431203.2,1418
194,434010.8,4424227.6,1574
195,433952.3,4424317.4,1568
196,432289.8,4425100.6,1521
197,432256.4,4425714.1,1506
198,434266.9,4424972.0,1546
199,433490.9,4425885.9,1498
200,432443.6,4426365.6,1492
201,432456.9,4424988.6,1526
202,434266.7,4424912.8,1549
203,422869.0,4423156.4,1384
204,435269.3,4431521.100000001,1415
205,432980.1,4423691.0,1563
206,433817.8,4424359.4,1560
207,434609.7,4425819.3,1516
208,433299.3,4424983.7,1528
209,436000.8,4432185.3,1411
210,436081.4,4431872.1,1410
211,432949.8,4425525.500000001,1514
212,432945.4,4425165.9,1523
213,432097.1,4425544.8,1508
214,433602.2,4424798.2,1537
215,423335.3,4422422.4,1388
216,434267.4,4425057.999999999,1543
217,433119.8,4424985.2,1529
218,427211.1,4427719.0,1387
219,434467.9,4424679.0,1573
220,435792.8,4431868.0,1409
221,432539.6,4426607.100000001,1488
222,432146.0,4426138.6,1496
223,423149.0,4423812.4,1383
224,432060.9,4426366.499999999,1490
225,432595.5,4426167.0,1497
226,436035.8,4431176.1,1419
227,432236.4,4426365.9,1491
228,433128.24,4426235.03,1494
229,432408.0,4426078.4,1499
230,433675.6,4424308.7,1559
231,433102.9,4423798.899999999,1563
232,434122.8,4424530.6,1561
233,435622.6,4432629.4,1406
234,433659.3,4424847.2,1535
235,432445.5,4424493.8,1536
236,432771.6,4425707.5,1509
